TransactionID,CustomerID,ProductID,Kuantitas,TanggalTransaksi
1,1,1,1,2024-05-01
2,2,3,2,2024-05-03
3,3,4,1,2024-05-03
4,4,2,1,2024-05-06
5,5,5,1,2024-05-10
6,6,4,5,2024-05-11
7,7,2,2,2024-05-13
8,8,3,4,2024-05-14
9,9,4,2,2024-05-15
10,10,4,4,2024-05-16
11,11,1,3,2024-05-19
12,12,2,2,2024-05-20
13,13,3,5,2024-05-20
14,14,5,2,2024-05-23
15,15,5,1,2024-05-24
16,16,3,7,2024-05-25
17,17,5,1,2024-05-27
18,18,3,3,2024-05-27
19,19,2,1,2024-05-28
20,20,3,2,2024-05-28
21,21,4,5,2024-05-28
22,22,2,2,2024-05-29
23,23,1,2,2024-05-29
24,24,1,5,2024-05-30
25,25,3,2,2024-05-30